config,seed_a,seed_b,layer,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random,raw_role_similarity,aligned_role_similarity,random_role_similarity,raw_top_head_match,aligned_top_head_match,best_assignment_json
uniform2,1,2,0,0.9322275519371033,0.9322275519371033,0.9321604162454605,6.713569164273903e-05,0.2224140374196545,0.2224140374196545,0.4666896844903586,False,False,"[[0, 0], [1, 1]]"
uniform2,1,2,1,0.39361822605133057,0.39361822605133057,0.3935697054862976,4.8520565032961205e-05,0.8580900503417686,0.8580900503417686,0.878428149826682,False,False,"[[0, 0], [1, 1]]"
uniform2,1,3,0,0.9260152578353882,0.9264839887619019,0.9262683725357056,0.00021561622619625798,0.1554594842325112,0.8445405157674888,0.4931091896846502,False,True,"[[0, 1], [1, 0]]"
uniform2,1,3,1,0.4137721061706543,0.4144902527332306,0.41418144971132276,0.00030880302190783304,0.7309013066115194,0.968498252553179,0.8734594741765149,False,True,"[[0, 1], [1, 0]]"
uniform2,1,4,0,0.9155174493789673,0.9177430272102356,0.9167192614078522,0.0010237658023833918,1.0,0.0,0.59,True,False,"[[0, 1], [1, 0]]"
uniform2,1,4,1,0.39406347274780273,0.39406347274780273,0.39311540126800537,0.0009480714797973633,0.949092789603166,0.949092789603166,0.8825593522806501,True,True,"[[0, 0], [1, 1]]"
uniform2,1,5,0,0.9261247515678406,0.9261247515678406,0.9256050604581832,0.0005196911096573276,0.7642712769445018,0.7642712769445018,0.49999999999999983,True,True,"[[0, 0], [1, 1]]"
uniform2,1,5,1,0.3769889771938324,0.3769889771938324,0.37604319214820864,0.0009457850456237593,0.9401615202251453,0.9401615202251453,0.8332428945513983,True,True,"[[0, 0], [1, 1]]"
uniform2,2,3,0,0.9327205419540405,0.9327205419540405,0.9322546339035034,0.0004659080505371449,0.9330454468128567,0.9330454468128567,0.6554594842325113,True,True,"[[0, 0], [1, 1]]"
uniform2,2,3,1,0.3995927572250366,0.3995927572250366,0.399585976600647,6.780624389635115e-06,0.8728112562697509,0.8728112562697509,0.8473886319136092,True,True,"[[0, 0], [1, 1]]"
uniform2,2,4,0,0.9226495027542114,0.9226495027542114,0.9219970178604125,0.000652484893798877,0.2224140374196545,0.2224140374196545,0.49444828074839314,False,False,"[[0, 0], [1, 1]]"
uniform2,2,4,1,0.3747309148311615,0.3747309148311615,0.3739968478679657,0.0007340669631957786,0.9089972607386025,0.9089972607386025,0.9334954260272486,False,False,"[[0, 0], [1, 1]]"
uniform2,2,5,0,0.9323112964630127,0.9323112964630127,0.9321983432769776,0.00011295318603510296,0.4581427604751527,0.4581427604751527,0.7435557395752146,False,False,"[[0, 0], [1, 1]]"
uniform2,2,5,1,0.37050682306289673,0.3708620071411133,0.37068796694278716,0.00017404019832611972,0.7982515705669139,0.8444745239417172,0.8213630472543155,False,True,"[[0, 1], [1, 0]]"
uniform2,3,4,0,0.9128888845443726,0.9137932062149048,0.9132958292961121,0.0004973769187927024,0.1554594842325112,0.8445405157674888,0.5206724309460493,False,True,"[[0, 1], [1, 0]]"
uniform2,3,4,1,0.3869270384311676,0.39033955335617065,0.38887217193841933,0.0014673814177513234,0.7818085170083534,0.917591042156345,0.8456263038279098,False,True,"[[0, 1], [1, 0]]"
uniform2,3,5,0,0.9326342344284058,0.9355365633964539,0.9340853989124298,0.0014511644840240479,0.3911882072880094,0.919730761177013,0.6343177820769512,False,True,"[[0, 1], [1, 0]]"
uniform2,3,5,1,0.3885539174079895,0.39092034101486206,0.3897134649753571,0.0012068760395049782,0.6710628268366647,0.9716632676719663,0.8123450340292564,False,True,"[[0, 1], [1, 0]]"
uniform2,4,5,0,0.9232149124145508,0.9232149124145508,0.9220768922567367,0.001138020157814057,0.7642712769445018,0.7642712769445018,0.4735728723055498,True,True,"[[0, 0], [1, 1]]"
uniform2,4,5,1,0.3624303340911865,0.3624303340911865,0.3621949377655983,0.00023539632558822188,0.8892543098283113,0.8892543098283113,0.8200052220028357,True,True,"[[0, 0], [1, 1]]"
