target_seed,condition,source_seed,control_id,heads_json,baseline_loss,ablated_loss,loss_delta,baseline_target_logit,ablated_target_logit,target_logit_delta
1,source_aligned,3,,"[[0, 7], [1, 10]]",2.2153436690568924,2.443036526441574,0.2276928573846817,200.0623016357422,197.8905487060547,-2.1717529296875
1,source_same_index,4,,"[[0, 4], [1, 9]]",2.2153436690568924,2.4181309193372726,0.20278725028038025,200.0623016357422,199.7450466156006,-0.31725502014160156
1,source_aligned,4,,"[[0, 1], [1, 10]]",2.2153436690568924,2.106739416718483,-0.10860425233840942,200.0623016357422,200.03960990905762,-0.022691726684570312
1,source_same_index,5,,"[[0, 7], [1, 2]]",2.2153436690568924,2.509603798389435,0.2942601293325424,200.0623016357422,197.9918155670166,-2.070486068725586
1,source_aligned,5,,"[[0, 7], [1, 10]]",2.2153436690568924,2.443036526441574,0.2276928573846817,200.0623016357422,197.8905487060547,-2.1717529296875
1,source_same_index,6,,"[[0, 7], [1, 10]]",2.2153436690568924,2.443036526441574,0.2276928573846817,200.0623016357422,197.8905487060547,-2.1717529296875
1,source_aligned,6,,"[[0, 7], [1, 3]]",2.2153436690568924,3.3359621465206146,1.1206184774637222,200.0623016357422,197.0109634399414,-3.0513381958007812
1,source_same_index,7,,"[[0, 1], [1, 6]]",2.2153436690568924,2.1719200760126114,-0.043423593044281006,200.0623016357422,199.95495986938477,-0.10734176635742188
1,source_aligned,7,,"[[0, 8], [1, 10]]",2.2153436690568924,2.1706929951906204,-0.04465067386627197,200.0623016357422,199.94969367980957,-0.11260795593261719
1,source_same_index,8,,"[[0, 7], [1, 3]]",2.2153436690568924,3.3359621465206146,1.1206184774637222,200.0623016357422,197.0109634399414,-3.0513381958007812
1,source_aligned,8,,"[[0, 7], [1, 5]]",2.2153436690568924,2.593224823474884,0.37788115441799164,200.0623016357422,197.64315795898438,-2.4191436767578125
1,source_same_index,9,,"[[0, 2], [1, 10]]",2.2153436690568924,2.1760432571172714,-0.03930041193962097,200.0623016357422,199.65446090698242,-0.4078407287597656
1,source_aligned,9,,"[[0, 7], [1, 10]]",2.2153436690568924,2.443036526441574,0.2276928573846817,200.0623016357422,197.8905487060547,-2.1717529296875
2,own_top,,,"[[0, 1], [1, 1]]",1.4030600637197495,3.4733411967754364,2.070281133055687,62.61258840560913,60.3036093711853,-2.308979034423828
2,own_random,,0,"[[0, 10], [1, 2]]",1.4030600637197495,2.353131517767906,0.9500714540481567,62.61258840560913,61.25786542892456,-1.3547229766845703
2,own_random,,1,"[[0, 0], [1, 9]]",1.4030600637197495,1.328931212425232,-0.07412885129451752,62.61258840560913,62.5715765953064,-0.041011810302734375
2,own_random,,2,"[[0, 5], [1, 8]]",1.4030600637197495,1.428308293223381,0.025248229503631592,62.61258840560913,62.769309997558594,0.1567215919494629
2,own_random,,3,"[[0, 10], [1, 9]]",1.4030600637197495,1.5141020566225052,0.11104199290275574,62.61258840560913,62.45580339431763,-0.1567850112915039
2,own_random,,4,"[[0, 5], [1, 3]]",1.4030600637197495,1.2818168625235558,-0.1212432011961937,62.61258840560913,62.8872447013855,0.2746562957763672
2,own_random,,5,"[[0, 10], [1, 9]]",1.4030600637197495,1.5141020566225052,0.11104199290275574,62.61258840560913,62.45580339431763,-0.1567850112915039
2,own_random,,6,"[[0, 4], [1, 6]]",1.4030600637197495,1.417857676744461,0.014797613024711609,62.61258840560913,62.07778596878052,-0.5348024368286133
2,own_random,,7,"[[0, 2], [1, 0]]",1.4030600637197495,1.3250270336866379,-0.07803303003311157,62.61258840560913,62.79203462600708,0.17944622039794922
2,source_same_index,1,,"[[0, 7], [1, 3]]",1.4030600637197495,1.415639579296112,0.01257951557636261,62.61258840560913,62.534862995147705,-0.07772541046142578
