config,head_dims_json,local_weight,induction_weight,seed,local_accuracy,induction_accuracy,local_top_slot,local_top_dim,local_top_score,local_top_specialization,induction_top_slot,induction_top_dim,induction_top_score,induction_top_specialization,local_top_is_64,induction_top_is_64,same_top_slot,same_top_dim
hetero4_64third,"[16, 32, 64, 16]",0.01,1.0,1,0.994873046875,0.9972656816244125,L1H2:d64,64,0.5763582070358098,0.9079543118399631,L0H2:d64,64,1.304095733910799,0.9122517446123128,True,True,False,True
hetero4_64third,"[16, 32, 64, 16]",0.01,1.0,2,0.99560546875,0.9964844137430191,L1H2:d64,64,0.9721083766780794,0.9400154104511187,L1H2:d64,64,1.6559142472688109,0.9845042834911178,True,True,True,True
hetero4_64third,"[16, 32, 64, 16]",0.01,1.0,3,0.983642578125,0.998697966337204,L0H2:d64,64,1.2298809941858053,0.5765071540794097,L0H3:d16,16,3.5039630548562855,0.63637005547443,True,False,False,False
hetero4_64third,"[16, 32, 64, 16]",0.01,1.0,4,0.99267578125,0.9989583641290665,L0H2:d64,64,0.5715449238196015,0.6571358804463452,L1H2:d64,64,1.5606889884220436,0.9849275186688651,True,True,False,True
hetero4_64third,"[16, 32, 64, 16]",0.01,1.0,5,0.99755859375,0.9983073174953461,L1H2:d64,64,0.47656287159770727,0.8743580592027081,L1H2:d64,64,1.1193149880564306,0.9818182625803574,True,True,True,True
hetero4,"[16, 16, 32, 64]",0.01,1.0,1,0.99853515625,0.998567745089531,L1H3:d64,64,0.6738631792832166,0.9022119981848128,L0H3:d64,64,1.1796181001118384,0.9664899851892018,True,True,False,True
hetero4,"[16, 16, 32, 64]",0.01,1.0,2,0.999267578125,0.9984375536441803,L1H3:d64,64,0.8031679438427091,0.9129385300419663,L0H3:d64,64,1.4931480372324586,0.9218107586155286,True,True,False,True
hetero4,"[16, 16, 32, 64]",0.01,1.0,3,0.994384765625,0.9972656667232513,L0H3:d64,64,0.7679602657444775,0.6878952869298421,L0H3:d64,64,1.2893136640777811,0.7806821664427128,True,True,True,True
hetero4,"[16, 16, 32, 64]",0.01,1.0,4,0.99853515625,0.9990886002779007,L1H3:d64,64,0.5943698566406965,0.8025316911107606,L1H3:d64,64,1.3076632206211798,0.980442228769405,True,True,True,True
hetero4,"[16, 16, 32, 64]",0.01,1.0,5,0.997802734375,0.9985677599906921,L1H3:d64,64,0.5725884714629501,0.8952870392574258,L0H3:d64,64,1.1967925794306211,0.8655224345421477,True,True,False,True
hetero4_64first,"[64, 16, 16, 32]",0.1,1.0,1,0.99951171875,0.9984375238418579,L0H2:d16,16,0.6577051199710695,0.43137785460710604,L0H2:d16,16,6.947019943327177,0.37303371829501003,False,False,True,True
hetero4_64first,"[64, 16, 16, 32]",0.1,1.0,2,1.0,1.0,L1H0:d64,64,0.25801623027655296,0.9699865416540361,L0H0:d64,64,3.05459128790244,0.7712843569908127,True,True,False,True
hetero4_64first,"[64, 16, 16, 32]",0.1,1.0,3,1.0,0.9989583641290665,L0H0:d64,64,0.07509908601059578,0.5754069385163186,L0H0:d64,64,2.725916115246946,0.9711547809480857,True,True,True,True
hetero4_64first,"[64, 16, 16, 32]",0.1,1.0,4,1.0,0.9996094107627869,L0H0:d64,64,0.22891252700355835,0.6328767990652827,L1H0:d64,64,1.01213852679939,0.9855412707693382,True,True,False,True
hetero4_64first,"[64, 16, 16, 32]",0.1,1.0,5,0.999755859375,0.998828187584877,L0H0:d64,64,0.3229129407554865,0.5051091125907563,L0H1:d16,16,7.2072149912128225,0.5594878066956397,True,False,False,False
hetero4_64third,"[16, 32, 64, 16]",0.1,1.0,1,0.999755859375,0.9959636032581329,L0H2:d64,64,0.14590591351588955,0.3714407327360553,L0H2:d64,64,5.163812638958916,0.4112621199995054,True,True,True,True
hetero4_64third,"[16, 32, 64, 16]",0.1,1.0,2,0.999755859375,0.9984375387430191,L0H0:d16,16,0.09014902193302987,0.7535047918379902,L0H0:d16,16,5.155482229194604,0.6261666460400158,False,False,True,True
hetero4_64third,"[16, 32, 64, 16]",0.1,1.0,3,1.0,0.9997396171092987,L1H2:d64,64,0.17759895029303152,0.9504623156430172,L1H2:d64,64,1.530341895238962,0.9868685602716231,True,True,True,True
hetero4_64third,"[16, 32, 64, 16]",0.1,1.0,4,1.0,0.999348983168602,L0H2:d64,64,0.02579273152514361,0.4641850235225333,L0H2:d64,64,0.7918116491637193,0.6462756787579212,True,True,True,True
hetero4_64third,"[16, 32, 64, 16]",0.1,1.0,5,0.999755859375,0.9963542222976685,L0H2:d64,64,0.6073603686527349,0.7787437256181526,L0H2:d64,64,6.402976021403447,0.5912495556896179,True,True,True,True
hetero4,"[16, 16, 32, 64]",0.1,1.0,1,1.0,0.9970052540302277,L0H3:d64,64,0.314141378752538,0.7013804029541626,L0H3:d64,64,5.012904807226732,0.7219358977691066,True,True,True,True
