config,family,role,n,top_dim_counts,top_dim_mode,top_dim_mode_count,accuracy_mean,specialization_mean,effective_heads_mean
hetero4_unique_extreme,position_boundary,fixed_offset_prev,5,"24:1, 80:4",80,4,1.0,0.9475998166727138,1.231735249792369
hetero4_unique_extreme,position_boundary,punctuation_boundary,5,"24:1, 80:4",80,4,1.0,0.893862822934002,1.3500998087462348
hetero4_unique_extreme,suppression_conflict,distractor_suppression,5,"24:2, 80:3",80,3,1.0,0.9377503480489329,1.2671970539401727
hetero4_unique_extreme,suppression_conflict,anti_copy,5,80:5,80,5,1.0,0.9068280569227196,1.4066732430630675
hetero4_unique_extreme,suppression_conflict,wrong_key_suppression,5,80:5,80,5,1.0,0.952004791664723,1.236504086956876
hetero4_unique_extreme,suppression_conflict,recency_conflict,5,80:5,80,5,1.0,0.9832436025154448,1.088981393985087
hetero4_unique_extreme,entity_coreference,repeated_name_detection,5,"24:1, 80:4",80,4,1.0,0.909357651354566,1.2116364235352315
hetero4_unique_extreme,entity_coreference,pronoun_antecedent,5,80:5,80,5,1.0,0.9891434036969372,1.0612608274691224
hetero4_unique_extreme,entity_coreference,simple_ioi_name_mover,5,80:5,80,5,1.0,0.9293793836106803,1.220023387510107
hetero4_unique_extreme,entity_coreference,negative_name_control,5,80:5,80,5,1.0,0.9975201822841788,1.0196964761026284
hetero2_unique_mild,copy_transport,local_copy,5,80:5,80,5,1.0,0.9001479552679861,1.3765954287212865
hetero2_unique_mild,copy_transport,previous_token,5,"48:3, 80:2",48,3,1.0,0.8981177793658087,1.3531889934918089
hetero2_unique_mild,copy_transport,kv_lookup,5,80:5,80,5,0.998828125,0.7137098825510451,2.1162893067498456
hetero2_unique_mild,copy_transport,duplicate_token,5,80:5,80,5,1.0,0.7955739022908769,1.6965610045329398
hetero2_unique_mild,induction,induction_short,5,"48:2, 80:3",80,3,1.0,0.7276555224897943,2.0948752250673928
hetero2_unique_mild,induction,induction_long,5,"48:3, 80:2",48,3,0.9997514307498931,0.5991695833667603,2.5737343285506866
hetero2_unique_mild,induction,induction_ngram,5,"48:3, 80:2",48,3,1.0,0.6452464837059572,2.4750733986766686
hetero2_unique_mild,induction,false_induction_control,5,"48:2, 80:3",80,3,1.0,0.6918763985344865,2.1784077521545067
hetero2_unique_mild,position_boundary,bos_sink,5,"48:3, 80:2",48,3,1.0,0.8201706552790272,1.6327286425001457
hetero2_unique_mild,position_boundary,sep_sink,5,"48:3, 80:2",48,3,1.0,0.8368182316518842,1.5345041587554888
hetero2_unique_mild,position_boundary,fixed_offset_prev,5,"48:3, 80:2",48,3,1.0,0.7575161516980584,1.7541072204114698
hetero2_unique_mild,position_boundary,punctuation_boundary,5,"48:3, 80:2",48,3,1.0,0.8555025385677075,1.5222066245547474
hetero2_unique_mild,suppression_conflict,distractor_suppression,5,"48:4, 80:1",48,4,1.0,0.774915519301297,1.810382901304743
hetero2_unique_mild,suppression_conflict,anti_copy,5,"48:2, 80:3",80,3,1.0,0.712289631508984,2.004757333258096
hetero2_unique_mild,suppression_conflict,wrong_key_suppression,5,80:5,80,5,1.0,0.638555698214328,2.1514623928968524
hetero2_unique_mild,suppression_conflict,recency_conflict,5,80:5,80,5,1.0,0.8960815204195157,1.3875794372219235
hetero2_unique_mild,entity_coreference,repeated_name_detection,5,"48:2, 80:3",80,3,1.0,0.8726742696197377,1.5509701277783137
hetero2_unique_mild,entity_coreference,pronoun_antecedent,5,"48:1, 80:4",80,4,1.0,0.7809345598226527,1.826490716488334
hetero2_unique_mild,entity_coreference,simple_ioi_name_mover,5,80:5,80,5,1.0,0.7951031022089734,1.6949702799750077
