config,family,role,n,top_dim_counts,top_dim_mode,top_dim_mode_count,accuracy_mean,specialization_mean,effective_heads_mean
"64,8,16,40",induction,induction_short,5,"16:1, 40:1, 64:3",64,3,1.0,0.6707624033431464,2.356602726527643
"64,8,16,40",induction,induction_long,5,"16:2, 40:1, 64:2",16,2,0.9991122275590897,0.6569973064968175,2.816605242537809
"64,8,16,40",induction,induction_ngram,5,"8:1, 16:2, 40:1, 64:1",16,2,0.999853515625,0.7579034794579435,2.259556705858869
"64,8,16,40",induction,false_induction_control,5,"8:1, 16:1, 64:3",64,3,1.0,0.6869540734368222,2.400280189875247
"64,8,16,40",position_boundary,bos_sink,5,"8:2, 64:3",64,3,1.0,0.7417575168577445,1.8914349900033542
"64,8,16,40",position_boundary,sep_sink,5,"16:2, 40:1, 64:2",16,2,1.0,0.7811465902826271,1.8998370106125726
"64,8,16,40",position_boundary,fixed_offset_prev,5,"16:2, 64:3",64,3,1.0,0.8661627103692696,1.541873553270595
"64,8,16,40",position_boundary,punctuation_boundary,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.8789851158752322,1.5649497044985357
"64,8,16,40",suppression_conflict,distractor_suppression,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.7592906707830164,1.9012212407273512
"64,8,16,40",suppression_conflict,anti_copy,5,"16:1, 64:4",64,4,1.0,0.7875334076491625,1.8061376368766269
"64,8,16,40",suppression_conflict,wrong_key_suppression,5,64:5,64,5,1.0,0.8484116079959051,1.5397703212896894
"64,8,16,40",suppression_conflict,recency_conflict,5,64:5,64,5,1.0,0.9384438696692575,1.3021580228892058
"64,8,16,40",entity_coreference,repeated_name_detection,5,"8:1, 64:4",64,4,0.999609375,0.7961822705506625,1.933302884233882
"64,8,16,40",entity_coreference,pronoun_antecedent,5,64:5,64,5,1.0,0.9436141720940381,1.2659648945647983
"64,8,16,40",entity_coreference,simple_ioi_name_mover,5,"16:1, 64:4",64,4,1.0,0.8545846707230181,1.54794531991717
"64,8,16,40",entity_coreference,negative_name_control,5,64:5,64,5,1.0,0.9647968726217645,1.1733107300476346
"8,64,16,40",copy_transport,local_copy,5,64:5,64,5,1.0,0.8829969642675273,1.5120164866384045
"8,64,16,40",copy_transport,previous_token,5,"8:2, 16:1, 64:2",8,2,1.0,0.7954553399788091,1.7183087239593653
"8,64,16,40",copy_transport,kv_lookup,5,"40:1, 64:4",64,4,0.99921875,0.5560422107428229,2.74052896012315
"8,64,16,40",copy_transport,duplicate_token,5,"40:1, 64:4",64,4,1.0,0.7935233876982472,1.8626126172234645
"8,64,16,40",induction,induction_short,5,"16:1, 40:2, 64:2",40,2,1.0,0.6950235522076741,2.273907707089788
"8,64,16,40",induction,induction_long,5,"16:1, 40:2, 64:2",40,2,0.9996449023485183,0.558022526611248,3.1234894411517997
"8,64,16,40",induction,induction_ngram,5,"16:3, 40:1, 64:1",16,3,1.0,0.5328039004223564,3.2004207322015317
"8,64,16,40",induction,false_induction_control,5,"16:1, 40:1, 64:3",64,3,1.0,0.6801652853273545,2.352841253498141
"8,64,16,40",position_boundary,bos_sink,5,"8:1, 64:4",64,4,1.0,0.8470081276796309,1.497865403201943
"8,64,16,40",position_boundary,sep_sink,5,"16:2, 40:1, 64:2",16,2,1.0,0.5599609857595771,2.8168551938603708
"8,64,16,40",position_boundary,fixed_offset_prev,5,"16:2, 64:3",64,3,1.0,0.7442227720170532,1.9662097464319725
"8,64,16,40",position_boundary,punctuation_boundary,5,"16:2, 64:3",64,3,1.0,0.6589163371215777,2.567401243500245
"8,64,16,40",suppression_conflict,distractor_suppression,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.6280861178513713,2.5240140897201657
"8,64,16,40",suppression_conflict,anti_copy,5,"16:2, 64:3",64,3,1.0,0.6995533499440347,1.9549114314329028
"8,64,16,40",suppression_conflict,wrong_key_suppression,5,64:5,64,5,1.0,0.8452101282493256,1.724205666452966
"8,64,16,40",suppression_conflict,recency_conflict,5,64:5,64,5,1.0,0.9397498360877117,1.2880290181037322
"8,64,16,40",entity_coreference,repeated_name_detection,5,"8:1, 16:1, 64:3",64,3,1.0,0.8552634379030011,1.697040485288523
"8,64,16,40",entity_coreference,pronoun_antecedent,5,"16:1, 64:4",64,4,1.0,0.8735516224681487,1.5286373462663345
"8,64,16,40",entity_coreference,simple_ioi_name_mover,5,64:5,64,5,1.0,0.8403029679768439,1.5304118075952817
"8,64,16,40",entity_coreference,negative_name_control,5,64:5,64,5,1.0,0.9489041407840741,1.2372607588433522
"8,16,64,40",copy_transport,local_copy,5,64:5,64,5,1.0,0.8701457754686694,1.5619450973418056
"8,16,64,40",copy_transport,previous_token,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.9225382287412349,1.336866906349333
"8,16,64,40",copy_transport,kv_lookup,5,"40:1, 64:4",64,4,0.99765625,0.6554185446188345,2.293236230598493
"8,16,64,40",copy_transport,duplicate_token,5,"40:3, 64:2",40,3,1.0,0.852642279799273,1.5435904299178103
"8,16,64,40",induction,induction_short,5,"40:2, 64:3",64,3,1.0,0.6837942184736365,2.50149612595561
"8,16,64,40",induction,induction_long,5,"40:2, 64:3",64,3,0.9995383709669113,0.5909212030855787,2.8756324688043158
"8,16,64,40",induction,induction_ngram,5,"40:2, 64:3",64,3,0.999951171875,0.5955519814220801,2.8770521871307135
"8,16,64,40",induction,false_induction_control,5,"40:2, 64:3",64,3,1.0,0.7977981287164111,1.9432914069835767
"8,16,64,40",position_boundary,bos_sink,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.8292948902008028,1.6860267809928922
"8,16,64,40",position_boundary,sep_sink,5,"8:1, 40:3, 64:1",40,3,1.0,0.766111706843799,1.868515898133412
"8,16,64,40",position_boundary,fixed_offset_prev,5,"8:2, 16:1, 40:1, 64:1",8,2,1.0,0.7303334821782117,2.047313472334718
"8,16,64,40",position_boundary,punctuation_boundary,5,"16:1, 40:2, 64:2",40,2,1.0,0.7902351569599211,1.835040940466807
"8,16,64,40",suppression_conflict,distractor_suppression,5,"40:2, 64:3",64,3,1.0,0.7251238038982264,2.008082761860027
"8,16,64,40",suppression_conflict,anti_copy,5,"40:2, 64:3",64,3,1.0,0.8040348441260798,1.8323591606933
"8,16,64,40",suppression_conflict,wrong_key_suppression,5,"40:1, 64:4",64,4,1.0,0.769326146999685,1.7583730062654155
"8,16,64,40",suppression_conflict,recency_conflict,5,"40:1, 64:4",64,4,1.0,0.7751973703281911,1.8660619873893332
"8,16,64,40",entity_coreference,repeated_name_detection,5,"16:1, 40:1, 64:3",64,3,1.0,0.8659963090290594,1.6420806369889462
"8,16,64,40",entity_coreference,pronoun_antecedent,5,"16:1, 64:4",64,4,1.0,0.9163910361516395,1.41723382450817
"8,16,64,40",entity_coreference,simple_ioi_name_mover,5,"40:1, 64:4",64,4,1.0,0.7788966898764811,1.8160392232747253
"8,16,64,40",entity_coreference,negative_name_control,5,"16:1, 64:4",64,4,1.0,0.852935257221748,1.5674623922898323
