config,seed,head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_top_layer,local_top_head,local_top_head_dim,local_top_role_score,local_top_specialization,local_random_same_layer_role_score_mean,local_top_accuracy_delta,induction_top_layer,induction_top_head,induction_top_head_dim,induction_top_role_score,induction_top_specialization,induction_random_same_layer_role_score_mean,induction_top_accuracy_delta,same_top_slot,same_top_head_dim,role_distribution_tv_distance,role_distribution_overlap
hetero4,1,"[16, 16, 32, 64]",0.00029492929388652556,0.0001222952569150948,0.000467563331767451,1.0,1.0,1,3,64,0.11011013339066267,0.9690209635773209,0.0013158387337171007,-0.01171875,0,3,64,3.7292065673464094,0.888821335884348,0.22127911146526458,-0.3729166239500046,False,True,0.6163463408017797,0.38365365919822036
hetero4,2,"[16, 16, 32, 64]",0.00028373883105814457,0.0001119439866670291,0.00045553368181572296,1.0,1.0,1,3,64,0.18150836700533546,0.9526468517632655,0.005150775657511986,-0.0330810546875,1,3,64,1.0233740754738392,0.9108963981065875,0.05247298803078593,-0.20546870678663254,True,True,0.4720421920626968,0.5279578079373032
hetero4,3,"[16, 16, 32, 64]",0.0002880185747926589,0.00011860458835144527,0.00045743257214780897,1.0,1.0,1,3,64,0.14636923120633583,0.9726716059764632,0.0014951752273191232,-0.016357421875,1,3,64,1.0132361310679698,0.9025308436392229,0.03800200989644509,-0.2167317420244217,True,True,0.47430588433906673,0.5256941156609333
hetero4,4,"[16, 16, 32, 64]",0.000270988584816223,9.726880853122566e-05,0.00044470836655818857,1.0,1.0,1,3,64,0.14693168589110428,0.9502880271085677,0.0020125758719586884,-0.015380859375,0,0,16,4.117792965869739,0.7672596996062602,0.4556573340923933,-0.548242162913084,False,False,0.42796861450530577,0.5720313854946942
hetero4,5,"[16, 16, 32, 64]",0.0002647555047587957,0.00010024327457358595,0.0004292677367629949,1.0,1.0,1,3,64,0.10478352997779439,0.8021652980510265,0.00940347520463547,-0.0107421875,0,3,64,1.5030375619207916,0.7110833026409806,0.18889016707180417,-0.2511718347668648,False,True,0.47902923015551946,0.5209707698444804
hetero4,6,"[16, 16, 32, 64]",0.0002864487796614412,0.00010543215284997132,0.00046746540829190053,1.0,1.0,1,3,64,0.083120377816158,0.9479576585318291,0.0012411081543177716,-0.0047607421875,0,3,64,2.227506919614825,0.8149442006973626,0.11228161962208105,-0.27252600342035294,False,True,0.7147002186769076,0.28529978132309247
hetero4,7,"[16, 16, 32, 64]",0.00026775344304041937,9.389308615936898e-05,0.00044161379992146976,1.0,1.0,1,3,64,0.11524661450312124,0.8154131698884133,0.009306546758125478,-0.00537109375,0,1,16,1.645182070129522,0.6203714787678393,0.28962269941621344,-0.22246089577674866,False,False,0.5855962200532506,0.4144037799467493
hetero4,8,"[16, 16, 32, 64]",0.000290776661131531,0.00011610541059781099,0.0004654479089367669,1.0,1.0,1,3,64,0.1962253849624176,0.9632868708719825,0.003617851561102725,-0.0260009765625,0,0,16,3.1182456362184894,0.8554068524433588,0.1455874955172476,-0.4455728903412819,False,False,0.642117542011118,0.35788245798888196
hetero4,9,"[16, 16, 32, 64]",0.00029586616437882185,0.0001249174110853346,0.0004668149231292773,1.0,1.0,1,3,64,0.11233196589273575,0.8933296255381847,0.00649177607101592,-0.006103515625,0,0,16,2.4362936106444977,0.8659111248137918,0.11524650120918523,-0.37480466067790985,False,False,0.33497338022676015,0.66502661977324
hetero4,10,"[16, 16, 32, 64]",0.00029855439788661897,0.00012893731218355242,0.0004681714854086749,1.0,1.0,1,3,64,0.20688340683955175,0.9846784534764284,0.0009540111796013662,-0.0338134765625,0,0,16,6.742840074650303,0.8523830219022255,0.4118673075645347,-0.6272786296904087,False,False,0.5282928931857611,0.4717071068142389
hetero4_64first,1,"[64, 16, 16, 32]",0.00029906635245424695,0.00012438470548659097,0.0004737479903269559,1.0,1.0,1,0,64,0.07916784839653701,0.923313112470187,0.001171296896700369,-0.0032958984375,0,2,16,4.3491291301033925,0.8285180142896021,0.33885757622192614,-0.42884112149477005,False,False,0.7401011140742584,0.2598988859257415
hetero4_64first,2,"[64, 16, 16, 32]",0.0002992497284139972,0.00011385445941414218,0.00048464499923284166,1.0,1.0,1,0,64,0.13781614387880836,0.939773321090217,0.0021095299407534185,-0.0167236328125,0,2,16,3.1313951317169995,0.7017904267279552,0.7216472452455491,-0.38196611404418945,False,False,0.6588788583923493,0.3411211416076506
hetero4_64first,3,"[64, 16, 16, 32]",0.00030862326093483716,0.00013215866420068778,0.00048508785766898654,1.0,1.0,1,0,64,0.09364411487695179,0.9291615421974659,0.003957972397984122,-0.00439453125,0,0,64,1.347096835150296,0.6323003051479908,0.290116415158991,-0.21686193346977234,False,True,0.3297522093926089,0.670247790607391
hetero4_64first,4,"[64, 16, 16, 32]",0.0002815477600961458,0.00010540638322709128,0.0004576891369652003,1.0,1.0,1,0,64,0.05921527674217941,0.8745862432832652,0.0049006927961272595,-0.004150390625,1,0,64,0.8463250920467544,0.8537953087272039,0.05083178170025349,-0.17044266313314438,True,True,0.3402044886012715,0.6597955113987285
hetero4_64first,5,"[64, 16, 16, 32]",0.00025069393450394273,9.644448255130555e-05,0.0004049433846375905,1.0,1.0,1,0,64,0.2107451404681342,0.9774621526972967,0.0013024516988480173,-0.028564453125,0,1,16,4.522350619874487,0.8204679145540675,0.2897973042927333,-0.4823567494750023,False,False,0.6468746046892999,0.3531253953107
hetero4_64first,6,"[64, 16, 16, 32]",0.00027167523876414634,0.00010278690660925349,0.0004405635700095445,1.0,1.0,1,0,64,0.08228233214413194,0.9405058676213881,0.0018693772303777223,-0.0140380859375,1,0,64,0.9501338940754067,0.858250018513562,0.05660136051301379,-0.20807287842035294,True,True,0.39263637957131736,0.6073636204286826
hetero4_64first,7,"[64, 16, 16, 32]",0.0002895047982747201,0.00010261401348543586,0.0004763955803355202,1.0,1.0,1,0,64,0.22007832586950826,0.9819847316176068,0.0011239367240705178,-0.038330078125,0,1,16,2.2974298243789235,0.6982901632775513,0.42044243750569876,-0.30709632486104965,False,False,0.5563605673938403,0.4436394326061597
hetero4_64first,8,"[64, 16, 16, 32]",0.0002937918725365307,0.0001204947138830903,0.00046708903028047644,1.0,1.0,1,0,64,0.11037281508197339,0.8686441286976526,0.008028642357203353,-0.0087890625,0,2,16,2.3014335361986014,0.4990651437853002,1.0582136137272755,-0.32760412245988846,False,False,0.37853604610266917,0.6214639538973309
