config,seed,role_a,family_a,role_b,family_b,same_family,tv_distance,similarity
"32,96",2,local_b,local_copy,induction_long,induction,False,0.7087736818470699,0.2912263181529301
"32,96",2,kv_a,kv_lookup,kv_b,kv_lookup,True,0.04198578522691095,0.958014214773089
"32,96",2,kv_a,kv_lookup,induction_short,induction,False,0.66186385216826,0.33813614783173995
"32,96",2,kv_a,kv_lookup,induction_long,induction,False,0.6835307851889609,0.31646921481103907
"32,96",2,kv_b,kv_lookup,induction_short,induction,False,0.6622819964130519,0.33771800358694815
"32,96",2,kv_b,kv_lookup,induction_long,induction,False,0.6840587130291926,0.31594128697080737
"32,96",2,induction_short,induction,induction_long,induction,True,0.044111086024845016,0.955888913975155
"32,96",3,local_a,local_copy,local_b,local_copy,True,0.006517632233064024,0.993482367766936
"32,96",3,local_a,local_copy,kv_a,kv_lookup,False,0.5417965180752683,0.4582034819247317
"32,96",3,local_a,local_copy,kv_b,kv_lookup,False,0.4633826727418861,0.5366173272581138
"32,96",3,local_a,local_copy,induction_short,induction,False,0.7388219908406768,0.2611780091593232
"32,96",3,local_a,local_copy,induction_long,induction,False,0.7047116140014269,0.2952883859985731
"32,96",3,local_b,local_copy,kv_a,kv_lookup,False,0.5424941451407879,0.45750585485921214
"32,96",3,local_b,local_copy,kv_b,kv_lookup,False,0.46369196979231975,0.5363080302076803
"32,96",3,local_b,local_copy,induction_short,induction,False,0.7395196179061965,0.26048038209380353
"32,96",3,local_b,local_copy,induction_long,induction,False,0.7054092410669466,0.2945907589330534
"32,96",3,kv_a,kv_lookup,kv_b,kv_lookup,True,0.07940462143341093,0.920595378566589
"32,96",3,kv_a,kv_lookup,induction_short,induction,False,0.19702547276540855,0.8029745272345914
"32,96",3,kv_a,kv_lookup,induction_long,induction,False,0.17669760633721715,0.8233023936627828
"32,96",3,kv_b,kv_lookup,induction_short,induction,False,0.2758276481138767,0.7241723518861233
"32,96",3,kv_b,kv_lookup,induction_long,induction,False,0.24363813211629015,0.7563618678837098
"32,96",3,induction_short,induction,induction_long,induction,True,0.1781385540953995,0.8218614459046005
"32,96",4,local_a,local_copy,local_b,local_copy,True,0.004122461203442744,0.9958775387965573
"32,96",4,local_a,local_copy,kv_a,kv_lookup,False,0.5664517394548787,0.4335482605451213
"32,96",4,local_a,local_copy,kv_b,kv_lookup,False,0.5261365808420688,0.4738634191579312
"32,96",4,local_a,local_copy,induction_short,induction,False,0.6233067232787746,0.37669327672122543
"32,96",4,local_a,local_copy,induction_long,induction,False,0.692917918223382,0.307082081776618
"32,96",4,local_b,local_copy,kv_a,kv_lookup,False,0.5666638469819525,0.4333361530180475
"32,96",4,local_b,local_copy,kv_b,kv_lookup,False,0.526181874909242,0.47381812509075805
"32,96",4,local_b,local_copy,induction_short,induction,False,0.6235188308058484,0.37648116919415164
"32,96",4,local_b,local_copy,induction_long,induction,False,0.6931300257504558,0.3068699742495442
"32,96",4,kv_a,kv_lookup,kv_b,kv_lookup,True,0.04048197207271053,0.9595180279272895
"32,96",4,kv_a,kv_lookup,induction_short,induction,False,0.42080885458658823,0.5791911454134118
"32,96",4,kv_a,kv_lookup,induction_long,induction,False,0.6397677014480185,0.36023229855198147
"32,96",4,kv_b,kv_lookup,induction_short,induction,False,0.4241001560797259,0.575899843920274
"32,96",4,kv_b,kv_lookup,induction_long,induction,False,0.6430590029411563,0.35694099705884375
"32,96",4,induction_short,induction,induction_long,induction,True,0.21895884686143044,0.7810411531385696
"32,96",5,local_a,local_copy,local_b,local_copy,True,0.0006736228191436646,0.9993263771808564
"32,96",5,local_a,local_copy,kv_a,kv_lookup,False,0.5666304343061829,0.4333695656938171
"32,96",5,local_a,local_copy,kv_b,kv_lookup,False,0.5324150503728936,0.4675849496271064
"32,96",5,local_a,local_copy,induction_short,induction,False,0.6363166123540738,0.3636833876459262
"32,96",5,local_a,local_copy,induction_long,induction,False,0.6452763397031742,0.3547236602968258
"32,96",5,local_b,local_copy,kv_a,kv_lookup,False,0.5668936306386763,0.43310636936132374
"32,96",5,local_b,local_copy,kv_b,kv_lookup,False,0.532678246705387,0.467321753294613
"32,96",5,local_b,local_copy,induction_short,induction,False,0.6365798086865672,0.36342019131343284
"32,96",5,local_b,local_copy,induction_long,induction,False,0.6455395360356677,0.3544604639643323
"32,96",5,kv_a,kv_lookup,kv_b,kv_lookup,True,0.03421538393328928,0.9657846160667107
"32,96",5,kv_a,kv_lookup,induction_short,induction,False,0.6146368580391953,0.3853631419608047
"32,96",5,kv_a,kv_lookup,induction_long,induction,False,0.44981571698112893,0.550184283018871
"32,96",5,kv_b,kv_lookup,induction_short,induction,False,0.6261871526588395,0.3738128473411605
"32,96",5,kv_b,kv_lookup,induction_long,induction,False,0.46053688790786035,0.5394631120921396
"32,96",5,induction_short,induction,induction_long,induction,True,0.18213334512342105,0.817866654876579
"48,80",1,local_a,local_copy,local_b,local_copy,True,0.02156594938471112,0.9784340506152889
"48,80",1,local_a,local_copy,kv_a,kv_lookup,False,0.25924740301825616,0.7407525969817439
"48,80",1,local_a,local_copy,kv_b,kv_lookup,False,0.17950549012658162,0.8204945098734184
"48,80",1,local_a,local_copy,induction_short,induction,False,0.7855861290525256,0.21441387094747444
"48,80",1,local_a,local_copy,induction_long,induction,False,0.7710385670667105,0.22896143293328952
"48,80",1,local_b,local_copy,kv_a,kv_lookup,False,0.25881946623999447,0.7411805337600055
"48,80",1,local_b,local_copy,kv_b,kv_lookup,False,0.17907755334831996,0.82092244665168
"48,80",1,local_b,local_copy,induction_short,induction,False,0.7851581922742639,0.21484180772573613
"48,80",1,local_b,local_copy,induction_long,induction,False,0.7706106302884488,0.22938936971155122
"48,80",1,kv_a,kv_lookup,kv_b,kv_lookup,True,0.0821289784750059,0.9178710215249941
"48,80",1,kv_a,kv_lookup,induction_short,induction,False,0.5628540288100439,0.43714597118995613
"48,80",1,kv_a,kv_lookup,induction_long,induction,False,0.5117911640484543,0.48820883595154574
"48,80",1,kv_b,kv_lookup,induction_short,induction,False,0.6325130217748665,0.36748697822513354
"48,80",1,kv_b,kv_lookup,induction_long,induction,False,0.5915330769401288,0.4084669230598712
"48,80",1,induction_short,induction,induction_long,induction,True,0.08845395109271562,0.9115460489072844
"48,80",2,local_a,local_copy,local_b,local_copy,True,0.036390993071780633,0.9636090069282194
"48,80",2,local_a,local_copy,kv_a,kv_lookup,False,0.6386871807505501,0.3613128192494499
"48,80",2,local_a,local_copy,kv_b,kv_lookup,False,0.6354366032648074,0.36456339673519256
"48,80",2,local_a,local_copy,induction_short,induction,False,0.8603504187144925,0.13964958128550753
"48,80",2,local_a,local_copy,induction_long,induction,False,0.7722097367486956,0.22779026325130436
"48,80",2,local_b,local_copy,kv_a,kv_lookup,False,0.6400148789184021,0.35998512108159786
"48,80",2,local_b,local_copy,kv_b,kv_lookup,False,0.6358016262051838,0.36419837379481623
"48,80",2,local_b,local_copy,induction_short,induction,False,0.8616781168823446,0.13832188311765536
"48,80",2,local_b,local_copy,induction_long,induction,False,0.7735374349165478,0.2264625650834522
"48,80",2,kv_a,kv_lookup,kv_b,kv_lookup,True,0.004213252713218369,0.9957867472867816
"48,80",2,kv_a,kv_lookup,induction_short,induction,False,0.8558721025774145,0.14412789742258547
"48,80",2,kv_a,kv_lookup,induction_long,induction,False,0.7140167712142215,0.28598322878577853
"48,80",2,kv_b,kv_lookup,induction_short,induction,False,0.858476623119923,0.141523376880077
"48,80",2,kv_b,kv_lookup,induction_long,induction,False,0.7160582427816619,0.28394175721833814
"48,80",2,induction_short,induction,induction_long,induction,True,0.14953862303715704,0.850461376962843
"48,80",3,local_a,local_copy,local_b,local_copy,True,0.02155819588629527,0.9784418041137047
"48,80",3,local_a,local_copy,kv_a,kv_lookup,False,0.45231876290100614,0.5476812370989939
"48,80",3,local_a,local_copy,kv_b,kv_lookup,False,0.33421803454956733,0.6657819654504327
"48,80",3,local_a,local_copy,induction_short,induction,False,0.7896245532416117,0.21037544675838826
"48,80",3,local_a,local_copy,induction_long,induction,False,0.7826475069580303,0.21735249304196969
"48,80",3,local_b,local_copy,kv_a,kv_lookup,False,0.4523187629010061,0.5476812370989939
"48,80",3,local_b,local_copy,kv_b,kv_lookup,False,0.33421803454956733,0.6657819654504327
"48,80",3,local_b,local_copy,induction_short,induction,False,0.7896245532416117,0.21037544675838826
"48,80",3,local_b,local_copy,induction_long,induction,False,0.7826475069580302,0.2173524930419698
"48,80",3,kv_a,kv_lookup,kv_b,kv_lookup,True,0.12678699945921645,0.8732130005407835
"48,80",3,kv_a,kv_lookup,induction_short,induction,False,0.3373057903406056,0.6626942096593944
"48,80",3,kv_a,kv_lookup,induction_long,induction,False,0.4727802430043605,0.5272197569956395
"48,80",3,kv_b,kv_lookup,induction_short,induction,False,0.4554065186920444,0.5445934813079556
"48,80",3,kv_b,kv_lookup,induction_long,induction,False,0.4743661376276443,0.5256338623723558
"48,80",3,induction_short,induction,induction_long,induction,True,0.15926463672525693,0.8407353632747431
"48,80",4,local_a,local_copy,local_b,local_copy,True,0.019044893060337152,0.9809551069396628
"48,80",4,local_a,local_copy,kv_a,kv_lookup,False,0.6938588540413226,0.30614114595867736
"48,80",4,local_a,local_copy,kv_b,kv_lookup,False,0.6907590280567915,0.30924097194320854
"48,80",4,local_a,local_copy,induction_short,induction,False,0.8812214413436452,0.11877855865635478
"48,80",4,local_a,local_copy,induction_long,induction,False,0.8052859613579217,0.19471403864207826
"48,80",4,local_b,local_copy,kv_a,kv_lookup,False,0.6951091590583066,0.3048908409416934
"48,80",4,local_b,local_copy,kv_b,kv_lookup,False,0.6920093330737753,0.3079906669262247
"48,80",4,local_b,local_copy,induction_short,induction,False,0.8824717463606293,0.1175282536393707
"48,80",4,local_b,local_copy,induction_long,induction,False,0.8065362663749058,0.19346373362509417
"48,80",4,kv_a,kv_lookup,kv_b,kv_lookup,True,0.010844375686052315,0.9891556243139477
"48,80",4,kv_a,kv_lookup,induction_short,induction,False,0.8697759173531097,0.13022408264689034
"48,80",4,kv_a,kv_lookup,induction_long,induction,False,0.793620875945481,0.20637912405451897
"48,80",4,kv_b,kv_lookup,induction_short,induction,False,0.8785634637019992,0.12143653629800077
