config,seed_a,seed_b,layer,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random,raw_role_similarity,aligned_role_similarity,random_role_similarity,raw_top_head_match,aligned_top_head_match,best_assignment_json
uniform4,2,4,0,0.8961789011955261,0.898228645324707,0.8973083859682083,0.0009202593564987538,0.6008963350088113,0.6401786977019556,0.6816051801420084,False,False,"[[0, 2], [1, 3], [2, 0], [3, 1]]"
uniform4,2,4,1,0.5202405452728271,0.5234531164169312,0.5216244971752166,0.001828619241714513,0.720544642967418,0.8710048406675199,0.7753349157899531,False,True,"[[0, 3], [1, 2], [2, 1], [3, 0]]"
uniform4,2,5,0,0.9132821559906006,0.9147149324417114,0.9132378882169724,0.0014770442247390436,0.41882271875078037,0.8336841542687603,0.5521928356919146,False,True,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,2,5,1,0.5245347023010254,0.5245347023010254,0.5231463503837586,0.001388351917266828,0.7162793776564748,0.7162793776564748,0.7369082422621486,False,False,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
uniform4,3,4,0,0.8359936475753784,0.8371713161468506,0.8354912930727005,0.00168002307415005,0.7779266124903632,0.7779266124903632,0.7507215992926731,True,True,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,3,4,1,0.512848973274231,0.5140854120254517,0.5121497946977616,0.0019356173276900979,0.5881544255717668,0.6913215401659998,0.5851910084678693,False,False,"[[0, 2], [1, 0], [2, 3], [3, 1]]"
uniform4,3,5,0,0.9163464307785034,0.9187361001968384,0.9163635307550431,0.0023725694417953136,0.5468223450081846,0.5560885268885363,0.5637460537620455,False,False,"[[0, 1], [1, 2], [2, 3], [3, 0]]"
uniform4,3,5,1,0.5297117233276367,0.531569242477417,0.5301610195636749,0.0014082229137420965,0.5381751064526501,0.8342087809706428,0.5695627593989341,False,True,"[[0, 0], [1, 2], [2, 3], [3, 1]]"
uniform4,4,5,0,0.8847185373306274,0.8858567476272583,0.8826604461669922,0.00319630146026606,0.47386285197071587,0.4787726476220713,0.5487001861548321,False,False,"[[0, 0], [1, 2], [2, 3], [3, 1]]"
uniform4,4,5,1,0.5158272385597229,0.5172750353813171,0.5162380021810532,0.001037033200263937,0.8837294830471344,0.6824035460547035,0.6717793153954316,True,False,"[[0, 2], [1, 3], [2, 1], [3, 0]]"
hetero4,1,2,0,0.8813813328742981,0.8840872645378113,0.8817574560642243,0.0023298084735869917,0.9938479674111392,0.04007247860620522,0.2139209391865072,True,False,"[[0, 0], [1, 3], [2, 1], [3, 2]]"
hetero4,1,2,1,0.5183523297309875,0.5226948261260986,0.5125507885217666,0.010144037604332024,0.9566624416542653,0.9564643902982317,0.2035444143014708,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,1,3,0,0.8743800520896912,0.8773332238197327,0.8737417161464691,0.00359150767326355,0.9914975661845955,0.9710513306222003,0.30240569285067403,True,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,1,3,1,0.5213989615440369,0.5222906470298767,0.5152477341890335,0.007042912840843241,0.9715237739456312,0.9715237739456312,0.2151738028160937,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,1,4,0,0.8383322954177856,0.8389780521392822,0.8368289256095887,0.002149126529693568,0.9302136772695252,0.03284757162112961,0.24537102618642748,True,False,"[[0, 1], [1, 3], [2, 2], [3, 0]]"
hetero4,1,4,1,0.4737606644630432,0.4764366149902344,0.46339684128761294,0.013039773702621438,0.9937422304303906,0.9939402817864242,0.31133759879697875,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,1,5,0,0.8732447624206543,0.8785068988800049,0.8752908998727799,0.0032159990072250233,0.9763972085623764,0.9709991772283013,0.2950681448629727,True,True,"[[0, 2], [1, 0], [2, 1], [3, 3]]"
